DESCRIPCIO,Q_m3_s_D,POINT_X,POINT_Y
LOS COCOS,0.66,-71.17365836,18.25186066
LOS SUIZOS,0.3,-71.15729673,18.25708746
PROYECTO DUMIT,0.35,-71.13508416,18.26404048
PERIQUITOS,0.6,-71.04696392,18.64443293
LOS COROZOS,0.4,-71.04664481,18.70153645
SAN JUAN JINOVA,6,-71.25895497,18.89043788
GUANITO SABANA ALTA,1,-71.23307239,18.7698794
BARRANCA/ALTAMIRA,0.5,-71.14067509,18.43044897
BOMBITA,0.55,-71.16302449,18.33297132
PENON I,0.3,-71.17606259,18.2991386
PENON II,0.3,-71.1931528,18.29217509
FUNDACION I II Y III,0.03,-71.20017329,18.28152689
LOS CORRALES,0.3,-71.064545,18.67104699
VUELTA GRANDE,1,-71.03579268,18.52829753
LOS BURROS,0.6,-71.12561258,18.73114165
BARRANCA (GRAVEDAD),2,-71.11033244,18.45489525
LA GUINEA,0.189,-71.21541372,18.2646546
HELENA II,0.135,-71.20194299,18.25616446
PRINCIPAL YSURA VILLARPANDO,25,-71.06498954,18.67119114
SANTANA CEA,25,-71.17931516,18.40905644
